id,Polarity
aa24173d,Neutral
79cdded5,Positive
26fe7471,Positive
d7d87d07,Positive
c4852036,Neutral
5b9c12ba,Negative
ebf7bff7,Neutral
e0479405,Neutral
cd0d8bcb,Neutral
02802aa0,Positive
a122a538,Neutral
636c8da5,Positive
66d69741,Positive
dd512ee1,Neutral
7021cc42,Positive
57e78bb3,Neutral
c9029b30,Neutral
97af720a,Negative
bc9887eb,Negative
ad9d4385,Neutral
322ccc8e,Neutral
276168df,Positive
08398146,Neutral
5b13b74a,Positive
977bf140,Negative
e0fd7776,Negative
fecab36b,Neutral
5ea3e4b5,Positive
b2bde016,Neutral
1aee328a,Positive
14348bf2,Neutral
89edc0c0,Negative
c221d218,Neutral
bb0ee4ad,Neutral
91d997d0,Positive
74acadab,Neutral
3b5f1919,Negative
67ae6b97,Positive
fffdbad5,Positive
382ae472,Neutral
09c0f4cc,Neutral
62f967e5,Positive
5a533794,Neutral
3afeed02,Neutral
a5b1da99,Negative
41de1a3a,Negative
8b973b98,Neutral
484c36cf,Neutral
51df160e,Neutral
1d485d6c,Neutral
f053e6cc,Positive
13581e4b,Neutral
94687a81,Positive
31cb55fc,Positive
4e803396,Neutral
9046f222,Neutral
5df2d140,Positive
c2d98689,Positive
f067a08b,Positive
b9a01810,Neutral
5d65492b,Positive
cfe6a260,Neutral
c3606126,Neutral
1c39c352,Negative
e859476c,Neutral
5e516305,Neutral
23303f58,Positive
5bc13938,Negative
b492b317,Neutral
a15c2475,Negative
a8676233,Positive
2ddfa69e,Negative
c5343fa0,Neutral
cee9b0a5,Positive
12d82762,Positive
c1cad5a6,Neutral
dcc02374,Negative
6eb6eb37,Neutral
d644c5df,Neutral
88ab0d02,Negative
b54f1ea0,Neutral
a1be2bde,Neutral
8a67463b,Neutral
388deca6,Neutral
8d4d51db,Negative
781bcd66,Positive
9e8d6baf,Positive
88f58b8e,Negative
73cfc4bc,Negative
2687f611,Neutral
39da2e0e,Neutral
5b4878db,Negative
8675ca7f,Neutral
b8d95b79,Neutral
6fd7ddac,Negative
737f222e,Neutral
8f9d73cf,Neutral
be694b7a,Positive
2b20ff68,Positive
49d77cad,Neutral
2c56e5a7,Positive
21813244,Positive
e703f7b2,Negative
142c2785,Neutral
0dc07c46,Neutral
884da2b9,Neutral
020ee260,Positive
ddc5f491,Neutral
a7ca41f5,Neutral
6d1bd293,Neutral
1e08c5da,Neutral
499c2998,Neutral
6f30beca,Neutral
e1400a58,Neutral
88c29066,Neutral
ea75493e,Positive
5a311adf,Negative
c142d964,Neutral
f06072a2,Neutral
56479676,Positive
a195dce5,Neutral
dc3d7492,Neutral
2b4d6440,Neutral
9e1cd421,Positive
9cd8b232,Negative
3c78bdb5,Neutral
58685dd8,Positive
bec01c4b,Neutral
d6e65407,Neutral
7fa82da8,Negative
18c31f78,Positive
efa87161,Neutral
5f5fc452,Neutral
26c47161,Positive
65523214,Neutral
ae3d7191,Negative
5922c3b4,Positive
65da3719,Positive
47d440ff,Neutral
49a24842,Neutral
7cc88b8f,Negative
ee59a530,Neutral
4e3bdec7,Neutral
a9ad7a20,Positive
16466a71,Neutral
306e4bc2,Positive
ec9c201d,Positive
9b223a85,Neutral
4f6bbcb5,Neutral
b7cf2bde,Negative
3beadb3a,Neutral
78c69e51,Neutral
c8cda282,Positive
162b825f,Negative
8ccef7aa,Negative
f37ab223,Positive
42d8ce05,Neutral
2fb93730,Positive
97e7b943,Neutral
1491c900,Positive
7178e29d,Neutral
449cf710,Neutral
6213b397,Neutral
dd2c2a33,Neutral
bf4b2c38,Neutral
dec03842,Positive
fce60e59,Neutral
a3798203,Positive
e71a115b,Neutral
1a938e84,Negative
7bd204cc,Neutral
85a506e1,Positive
e68db2a9,Neutral
2ccfd252,Neutral
f3d189cf,Positive
96ef2a30,Positive
eb2cb9f4,Positive
